symbol,entry_time,exit_time,exit_reason,pnl_usd,pnl_bps,pnl_percent,hold_duration_sec,spread_bps_entry,imbalance_entry,depth_5bps_entry,entry_fee,exit_fee,total_fee,strategy_params,label,exit_type
DOTUSDT,2025-10-25 21:46:03.052718,2025-10-25 21:46:07.288726,SL,-0.0323834196891228,-6.476683937824558,-0.06476683937824558,4.236008,3.237817710862522,0.6013658807686553,0.0,0.0,0.0,0.0,,0,SL
LINKUSDT,2025-10-25 21:46:03.318302,2025-10-25 21:46:23.873168,SL,-0.0551571980143397,-11.03143960286794,-0.11031439602867939,20.554866,5.514199062587022,0.3328331606385718,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-25 21:46:06.894614,2025-10-25 21:46:24.078441,SL,-0.04361098996947719,-8.722197993895438,-0.08722197993895438,17.183827,4.360148245039851,0.5524954290361467,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 21:51:10.040055,2025-10-25 21:51:26.891605,SL,-0.03242542153048352,-6.485084306096704,-0.06485084306096704,16.85155,3.2420165342839677,0.5200826408095103,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 21:59:40.093526,2025-10-25 22:00:05.079700,SL,-0.032404406999348344,-6.480881399869669,-0.06480881399869669,24.986174,3.2399157621912646,0.2904282367372847,0.0,0.0,0.0,0.0,,0,SL
AVAXUSDT,2025-10-25 22:01:29.667466,2025-10-25 22:01:41.905807,SL,-0.050709939148071946,-10.14198782961439,-0.10141987829614389,12.238341,5.069708491762516,0.4809921831677422,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 22:03:08.908792,2025-10-25 22:03:23.717524,SL,-0.03242542153048352,-6.485084306096704,-0.06485084306096704,14.808732,3.2420165342839677,0.32548393884135224,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 23:37:05.926974,2025-10-25 23:37:18.413193,SL,-0.032414910858991564,-6.482982171798314,-0.06482982171798314,12.486219,3.240965807810371,0.3975586552504991,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 23:43:15.895524,2025-10-25 23:43:40.509150,SL,-0.03235198964736693,-6.4703979294733855,-0.06470397929473386,24.613626,3.234675723758337,0.6596184298549423,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-25 23:52:29.898587,2025-10-25 23:52:32.981825,SL,-0.032310177705981,-6.4620355411962,-0.064620355411962,3.083238,3.2304958811173954,0.5261742676974169,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 00:01:22.552726,2025-10-26 00:01:28.318308,SL,-0.032362459546922004,-6.4724919093844,-0.06472491909384401,5.765582,3.2357223750213038,0.6188125657449615,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 00:05:44.016544,2025-10-26 00:06:07.239221,SL,-0.03239390994493398,-6.478781988986795,-0.06478781988986795,23.222677,3.2388663967607765,0.28253233546164785,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 00:09:17.142448,2025-10-26 00:09:36.737793,SL,-0.032362459546922004,-6.4724919093844,-0.06472491909384401,19.595345,3.2357223750213038,0.49045524769002197,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 00:15:14.867313,2025-10-26 00:15:16.905797,SL,-0.0647249190938512,-12.944983818770236,-0.12944983818770237,2.038484,3.2357223750213038,0.6028669937856567,0.0,0.0,0.0,0.0,,0,SL
VETUSDT,2025-10-26 00:15:15.134621,2025-10-26 00:15:17.412607,SL,-0.057703404500873204,-11.54068090017464,-0.11540680900174641,2.277986,5.768676088837376,0.6394390558366357,0.0,0.0,0.0,0.0,,0,SL
AVAXUSDT,2025-10-26 00:15:15.388591,2025-10-26 00:15:17.840156,SL,-0.050864699898269514,-10.172939979653902,-0.10172939979653903,2.451565,5.085176709891464,0.2571594576992819,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-26 00:15:15.674399,2025-10-26 00:15:17.641438,SL,-0.06564551422319724,-13.129102844639446,-0.13129102844639445,1.967039,4.375410194705272,0.5567061470000055,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 00:19:41.251737,2025-10-26 00:20:02.656300,SL,-0.032362459546922004,-6.4724919093844,-0.06472491909384401,21.404563,3.2357223750213038,0.514917690169804,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 00:30:15.054513,2025-10-26 00:30:38.544606,SL,-0.032404406999348344,-6.480881399869669,-0.06480881399869669,23.490093,3.2399157621912646,0.2607756533915284,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-26 00:31:16.192583,2025-10-26 00:31:38.910904,SL,-0.04384042086804524,-8.768084173609047,-0.08768084173609048,22.718321,4.383081306157746,0.5374335169975745,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 00:44:10.993518,2025-10-26 00:44:18.296219,SL,-0.032456994482307364,-6.491398896461472,-0.06491398896461473,7.302701,3.2451728054515327,0.5718367478302538,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 01:02:00.383981,2025-10-26 01:02:20.989485,SL,-0.048590864917397364,-9.718172983479475,-0.09718172983479474,20.605504,3.2388663967607765,0.40347167026229136,0.0,0.0,0.0,0.0,,0,SL
NEARUSDT,2025-10-26 01:02:15.115833,2025-10-26 01:02:21.199564,SL,-0.06581834137779978,-13.163668275559957,-0.13163668275559956,6.083731,4.386926957665673,0.6808424798142922,0.0,0.0,0.0,0.0,,0,SL
AVAXUSDT,2025-10-26 01:03:00.041899,2025-10-26 01:03:12.845608,SL,-0.05081300813008022,-10.162601626016045,-0.10162601626016045,12.803709,5.080010160021113,0.2755952860325897,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 01:03:00.758439,2025-10-26 01:03:15.482192,SL,-0.03242542153048352,-6.485084306096704,-0.06485084306096704,14.723753,3.2420165342839677,0.42213177455437684,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 01:05:01.439906,2025-10-26 01:05:10.163112,SL,-0.032435939020438266,-6.487187804087653,-0.06487187804087653,8.723206,3.2430679422730333,0.6145282576111522,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 01:07:59.768952,2025-10-26 01:08:14.386769,SL,-0.032414910858991564,-6.482982171798314,-0.06482982171798314,14.617817,3.240965807810371,0.48214017877373094,0.0,0.0,0.0,0.0,,0,SL
DOTUSDT,2025-10-26 01:10:30.108181,2025-10-26 01:10:31.636116,SL,-0.032414910858991564,-6.482982171798314,-0.06482982171798314,1.527935,3.240965807810371,0.45586982036973656,0.0,0.0,0.0,0.0,,0,SL
