Entry Time,Exit Time,Symbol,Entry Side,Status,Entry Price,Exit Price,Entry Qty,P&L USD,P&L %,Total Fee,Hold Duration (sec),Exit Reason,Strategy Tag
2025-10-20T15:12:22.306577,2025-10-20T15:12:47.390463,TRXUSDT,BUY,CLOSED,0.32270000,0.32280000,154.94267121,0.0155,0.03,,25.08,TIMEOUT,mm_entry
2025-10-20T15:12:21.278498,2025-10-20T15:12:22.511035,ALGOUSDT,BUY,CLOSED,0.18820000,0.18830000,265.67481403,0.0266,0.05,,1.23,TP,mm_entry
2025-10-20T15:12:20.959430,2025-10-20T15:12:35.842409,ATOMUSDT,BUY,CLOSED,3.28400000,3.28600000,15.22533496,0.0305,0.06,,14.88,TP,mm_entry
2025-10-20T15:12:17.937422,2025-10-20T15:12:18.977048,ATOMUSDT,BUY,CLOSED,3.28300000,3.28500000,15.22997259,0.0305,0.06,,1.04,TP,mm_entry
2025-10-20T15:12:17.730980,2025-10-20T15:12:24.223046,LINKUSDT,BUY,CLOSED,19.03000000,19.04000000,2.62743037,0.0263,0.05,,6.49,TP,mm_entry
2025-10-20T15:12:17.410118,2025-10-20T15:12:24.016487,ICPUSDT,BUY,CLOSED,3.16400000,3.16600000,15.80278129,0.0316,0.06,,6.61,TP,mm_entry
2025-10-20T15:12:09.115286,2025-10-20T15:12:15.073619,ICPUSDT,BUY,CLOSED,3.16600000,3.16400000,15.79279848,-0.0316,-0.06,,5.96,SL,mm_entry
2025-10-20T15:12:02.638343,2025-10-20T15:12:04.055201,ATOMUSDT,BUY,CLOSED,3.28500000,3.28700000,15.22070015,0.0304,0.06,,1.42,TP,mm_entry
2025-10-20T15:11:58.539759,2025-10-20T15:11:59.780509,ATOMUSDT,BUY,CLOSED,3.28500000,3.28700000,15.22070015,0.0304,0.06,,1.24,TP,mm_entry
2025-10-20T15:11:54.566225,2025-10-20T15:12:19.648192,TRXUSDT,BUY,CLOSED,0.32270000,0.32280000,154.94267121,0.0155,0.03,,25.08,TIMEOUT,mm_entry
2025-10-20T15:11:52.052177,2025-10-20T15:12:06.784550,ICPUSDT,BUY,CLOSED,3.16800000,3.16600000,15.78282828,-0.0316,-0.06,,14.73,SL,mm_entry
2025-10-20T15:11:40.271180,2025-10-20T15:11:41.534535,LINKUSDT,BUY,CLOSED,19.03000000,19.04000000,2.62743037,0.0263,0.05,,1.26,TP,mm_entry
2025-10-20T15:11:36.730334,2025-10-20T15:11:38.363564,LINKUSDT,BUY,CLOSED,19.03000000,19.04000000,2.62743037,0.0263,0.05,,1.63,TP,mm_entry
2025-10-20T15:11:35.383323,2025-10-20T15:11:36.948153,ALGOUSDT,BUY,CLOSED,0.18820000,0.18840000,265.67481403,0.0531,0.11,,1.56,TP,mm_entry
2025-10-20T15:11:33.522051,2025-10-20T15:11:34.460332,LINKUSDT,BUY,CLOSED,19.05000000,19.06000000,2.62467192,0.0262,0.05,,0.94,TP,mm_entry
